GEOID,total_households,zero_vehicle_households,car_ownership_rate
1400000US36047017900,1680,890,0.5297619047619048
1400000US36047018000,1132,492,0.43462897526501765
1400000US36047018100,2679,1736,0.6480029861888764
1400000US36047018200,1694,481,0.28394332939787487
1400000US36047018300,1907,764,0.40062926061877296
1400000US36047018400,1020,158,0.15490196078431373
1400000US36047018501,1699,1299,0.7645673925838729
1400000US36047018600,1068,329,0.3080524344569288
1400000US36047018700,720,353,0.49027777777777776
1400000US36047018800,1280,499,0.38984375
1400000US36047019000,2076,1185,0.5708092485549133
1400000US36047019100,1727,1045,0.6050955414012739
1400000US36047019200,1069,456,0.42656688493919553
1400000US36047019300,2332,1265,0.5424528301886793
1400000US36047019400,1750,454,0.25942857142857145
1400000US36047019500,2086,1248,0.5982742090124641
1400000US36047019600,1359,535,0.3936718175128771
1400000US36047019700,2084,869,0.4169865642994242
1400000US36047019800,872,125,0.143348623853211
1400000US36047019900,2825,1837,0.6502654867256638
1400000US36047020000,1041,368,0.35350624399615754
1400000US36047020100,2431,1343,0.5524475524475524
1400000US36047020200,743,78,0.10497981157469717
1400000US36047020300,1333,831,0.6234058514628658
1400000US36047020400,951,248,0.2607781282860147
1400000US36047020500,2192,1035,0.4721715328467153
1400000US36047020600,920,152,0.16521739130434782
1400000US36047020700,2961,1707,0.5764944275582573
1400000US36047020800,1306,536,0.4104134762633997
1400000US36047021000,1378,509,0.36937590711175616
1400000US36047021100,1428,844,0.5910364145658263
1400000US36047021200,1313,486,0.37014470677837014
1400000US36047021300,2149,1270,0.5909725453699395
1400000US36047021400,981,473,0.48216106014271154
1400000US36047021500,3595,2277,0.6333796940194715
1400000US36047021600,1052,668,0.6349809885931559
1400000US36047021700,2204,1549,0.7028130671506352
1400000US36047021800,975,353,0.36205128205128206
1400000US36047021900,2744,1901,0.6927842565597667
1400000US36047022000,1578,996,0.6311787072243346
1400000US36047022100,2089,1317,0.6304451890856869
1400000US36047022200,1451,672,0.4631288766368022
1400000US36047022400,1493,839,0.5619557937039518
1400000US36047022600,822,496,0.6034063260340633
1400000US36047022700,2746,1828,0.6656955571740714
1400000US36047022800,934,475,0.5085653104925053
1400000US36047022900,2528,1697,0.6712816455696202
1400000US36047023000,887,472,0.532130777903044
1400000US36047023100,2166,925,0.42705447830101567
1400000US36047023200,1873,608,0.3246129204484784
1400000US36047023300,2818,1398,0.49609652235628104
1400000US36047023400,1716,599,0.34906759906759904
1400000US36047023500,2085,1293,0.6201438848920864
1400000US36047023600,1796,1201,0.6687082405345212
1400000US36047023800,1073,599,0.5582479030754893
1400000US36047024000,1702,713,0.4189189189189189
1400000US36047024100,1902,1256,0.6603575184016824
1400000US36047024200,814,288,0.3538083538083538
1400000US36047024300,2588,1127,0.43547140649149924
1400000US36047024400,1158,312,0.2694300518134715
1400000US36047024500,2711,1401,0.516783474732571
1400000US36047024600,1203,392,0.3258520365752286
1400000US36047024700,1438,824,0.5730180806675939
1400000US36047024800,1030,361,0.3504854368932039
1400000US36047024900,2444,1754,0.7176759410801964
1400000US36047025000,624,126,0.20192307692307693
1400000US36047025100,1845,1455,0.7886178861788617
1400000US36047025200,1718,660,0.3841676367869616
1400000US36047025300,2033,1171,0.5759960649286768
1400000US36047025400,1404,620,0.4415954415954416
1400000US36047025500,1753,1103,0.6292070735881347
1400000US36047025600,1044,286,0.2739463601532567
1400000US36047025700,1782,925,0.5190796857463524
1400000US36047025800,1715,953,0.5556851311953352
1400000US36047025901,1149,731,0.6362053959965187
1400000US36047025902,1165,729,0.6257510729613734
1400000US36047026000,1248,455,0.3645833333333333
1400000US36047026100,3380,2108,0.6236686390532544
1400000US36047026200,1226,334,0.2724306688417618
1400000US36047026300,1161,515,0.4435831180017227
1400000US36047026400,1925,1044,0.5423376623376623
1400000US36047026500,2296,1568,0.6829268292682927
1400000US36047026600,1339,648,0.4839432412247946
1400000US36047026700,2502,1084,0.43325339728217427
1400000US36047026800,2029,730,0.35978314440611137
1400000US36047026900,1809,967,0.5345494748479823
1400000US36047027000,1005,157,0.1562189054726368
1400000US36047027100,2043,1116,0.5462555066079295
1400000US36047027200,1922,764,0.3975026014568158
1400000US36047027300,2175,897,0.4124137931034483
1400000US36047027400,1065,352,0.3305164319248826
1400000US36047027500,2316,1443,0.6230569948186528
1400000US36047027600,1526,513,0.336173001310616
1400000US36047027700,1594,1021,0.6405269761606023
1400000US36047027800,1326,373,0.2812971342383107
1400000US36047027900,2180,1008,0.46238532110091746
1400000US36047028000,731,191,0.2612859097127223
1400000US36047028100,2297,1309,0.5698737483674358
1400000US36047028200,1343,518,0.3857036485480268
1400000US36047028300,1539,984,0.6393762183235867
1400000US36047028400,1635,645,0.3944954128440367
1400000US36047028501,379,343,0.9050131926121372
1400000US36047028502,683,545,0.7979502196193266
1400000US36047028600,1353,492,0.36363636363636365
1400000US36047028700,1763,1361,0.7719795802609188
1400000US36047028800,1531,794,0.5186152841280209
1400000US36047028900,1885,1070,0.5676392572944297
1400000US36047029000,1446,705,0.487551867219917
1400000US36047029100,1952,968,0.4959016393442623
1400000US36047029200,991,401,0.4046417759838547
1400000US36047029300,1066,480,0.450281425891182
1400000US36047029400,689,319,0.4629898403483309
1400000US36047029500,2196,949,0.43214936247723135
1400000US36047029600,2628,1287,0.4897260273972603
1400000US36047029700,1646,590,0.35844471445929527
1400000US36047029800,1455,693,0.4762886597938144
1400000US36047029900,1429,727,0.5087473757872638
